AllocCPUS%|%AllocNodes%|%CPUTimeRAW%|%End%|%ExitCode%|%Flags%|%Group%|%JobID%|%JobName%|%NCPUS%|%NNodes%|%NodeList%|%NTasks%|%Partition%|%ReqCPUS%|%ReqMem%|%ReqNodes%|%Start%|%State%|%Submit%|%SystemCPU%|%TimelimitRaw%|%TotalCPU%|%UserCPU%|%
144%|%1%|%432%|%2024-08-25T23:14:49%|%0:0%|%%|%%|%100785.extern%|%extern%|%144%|%1%|%ncpn37%|%1%|%%|%144%|%%|%0.00M%|%2024-08-25T23:14:46%|%COMPLETED%|%2024-08-25T23:14:46%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
144%|%1%|%432%|%2024-08-25T23:14:49%|%3:0%|%SchedBackfill,StartRecieved%|%example%|%100786%|%job-ARM%|%144%|%1%|%ncpn38%|%%|%arm144%|%144%|%223776M%|%0.00M%|%2024-08-25T23:14:46%|%FAILED%|%2024-08-25T22:44:59%|%00:00.172%|%2880%|%00:00.258%|%00:00.085%|%
144%|%1%|%432%|%2024-08-25T23:14:49%|%3:0%|%%|%%|%100786.batch%|%batch%|%144%|%1%|%ncpn38%|%1%|%%|%144%|%%|%0.00M%|%2024-08-25T23:14:46%|%FAILED%|%2024-08-25T23:14:46%|%00:00.172%|%%|%00:00.257%|%00:00.085%|%
144%|%1%|%432%|%2024-08-25T23:14:49%|%0:0%|%%|%%|%100786.extern%|%extern%|%144%|%1%|%ncpn38%|%1%|%%|%144%|%%|%0.00M%|%2024-08-25T23:14:46%|%COMPLETED%|%2024-08-25T23:14:46%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
448%|%0%|%0%|%2024-08-26T04:36:28%|%0:0%|%StartRecieved%|%example%|%100787%|%sbatch%|%448%|%4%|%None assigned%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%None%|%CANCELLED by 18362%|%2024-08-25T22:44:59%|%00:00:00%|%Partition_Limit%|%00:00:00%|%00:00:00%|%
448%|%0%|%0%|%2024-08-26T04:36:30%|%0:0%|%StartRecieved%|%example%|%100788%|%sbatch%|%448%|%4%|%None assigned%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%None%|%CANCELLED by 18362%|%2024-08-25T22:45:03%|%00:00:00%|%Partition_Limit%|%00:00:00%|%00:00:00%|%
448%|%0%|%0%|%2024-08-26T04:36:31%|%0:0%|%StartRecieved%|%example%|%100789%|%sbatch%|%448%|%4%|%None assigned%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%None%|%CANCELLED by 18362%|%2024-08-25T22:45:07%|%00:00:00%|%Partition_Limit%|%00:00:00%|%00:00:00%|%
448%|%0%|%0%|%2024-08-26T04:36:33%|%0:0%|%StartRecieved%|%example%|%100790%|%sbatch%|%448%|%4%|%None assigned%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%None%|%CANCELLED by 18362%|%2024-08-25T22:45:15%|%00:00:00%|%Partition_Limit%|%00:00:00%|%00:00:00%|%
144%|%1%|%432%|%2024-08-25T23:15:14%|%3:0%|%SchedMain,StartRecieved%|%example%|%100791%|%job-ARM%|%144%|%1%|%ncpn37%|%%|%arm144%|%144%|%223776M%|%0.00M%|%2024-08-25T23:15:11%|%FAILED%|%2024-08-25T22:46:18%|%00:00.206%|%2880%|%00:00.274%|%00:00.067%|%
144%|%1%|%432%|%2024-08-25T23:15:14%|%3:0%|%%|%%|%100791.batch%|%batch%|%144%|%1%|%ncpn37%|%1%|%%|%144%|%%|%0.00M%|%2024-08-25T23:15:11%|%FAILED%|%2024-08-25T23:15:11%|%00:00.206%|%%|%00:00.273%|%00:00.066%|%
144%|%1%|%432%|%2024-08-25T23:15:14%|%0:0%|%%|%%|%100791.extern%|%extern%|%144%|%1%|%ncpn37%|%1%|%%|%144%|%%|%0.00M%|%2024-08-25T23:15:11%|%COMPLETED%|%2024-08-25T23:15:11%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
144%|%1%|%432%|%2024-08-25T23:15:14%|%3:0%|%SchedMain,StartRecieved%|%example%|%100792%|%job-ARM%|%144%|%1%|%ncpn38%|%%|%arm144%|%144%|%223776M%|%0.00M%|%2024-08-25T23:15:11%|%FAILED%|%2024-08-25T22:46:25%|%00:00.147%|%2880%|%00:00.258%|%00:00.110%|%
144%|%1%|%432%|%2024-08-25T23:15:14%|%3:0%|%%|%%|%100792.batch%|%batch%|%144%|%1%|%ncpn38%|%1%|%%|%144%|%%|%0.00M%|%2024-08-25T23:15:11%|%FAILED%|%2024-08-25T23:15:11%|%00:00.147%|%%|%00:00.257%|%00:00.109%|%
144%|%1%|%432%|%2024-08-25T23:15:14%|%0:0%|%%|%%|%100792.extern%|%extern%|%144%|%1%|%ncpn38%|%1%|%%|%144%|%%|%0.00M%|%2024-08-25T23:15:11%|%COMPLETED%|%2024-08-25T23:15:11%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
448%|%4%|%3329088%|%2024-08-26T03:24:26%|%0:0%|%SchedBackfill,StartRecieved%|%example%|%100793%|%run.b.e21.B1850cmip6.f09_g17.CESM2-SF-BLC.003%|%448%|%4%|%icpnp[325-328]%|%%|%development%|%448%|%1929984M%|%0.00M%|%2024-08-26T01:20:35%|%COMPLETED%|%2024-08-25T22:47:06%|%16:12.597%|%480%|%38-05:11:13%|%38-04:55:00%|%
112%|%1%|%832272%|%2024-08-26T03:24:26%|%0:0%|%%|%%|%100793.batch%|%batch%|%112%|%1%|%icpnp325%|%1%|%%|%112%|%%|%0.00M%|%2024-08-26T01:20:35%|%COMPLETED%|%2024-08-26T01:20:35%|%00:01.599%|%%|%00:04.233%|%00:02.633%|%
448%|%4%|%3329088%|%2024-08-26T03:24:26%|%0:0%|%%|%%|%100793.extern%|%extern%|%448%|%4%|%icpnp[325-328]%|%4%|%%|%448%|%%|%0.00M%|%2024-08-26T01:20:35%|%COMPLETED%|%2024-08-26T01:20:35%|%00:00:00%|%%|%00:00.002%|%00:00.001%|%
448%|%4%|%3326848%|%2024-08-26T03:24:25%|%0:0%|%%|%%|%100793.0%|%hydra_bstrap_proxy%|%448%|%4%|%icpnp[325-328]%|%4%|%%|%448%|%%|%0.00M%|%2024-08-26T01:20:39%|%COMPLETED%|%2024-08-26T01:20:39%|%16:10.997%|%%|%38-05:11:09%|%38-04:54:58%|%
1%|%0%|%0%|%2024-08-26T04:33:35%|%0:0%|%StartRecieved%|%example%|%100794%|%st_archive.b.e21.B1850cmip6.f09_g17.CESM2-SF-BLC.003%|%1%|%1%|%None assigned%|%%|%ct112%|%1%|%4308M%|%0.00M%|%None%|%CANCELLED by 12734%|%2024-08-25T22:47:08%|%00:00:00%|%20%|%00:00:00%|%00:00:00%|%
