AllocCPUS%|%AllocNodes%|%CPUTimeRAW%|%End%|%ExitCode%|%Flags%|%Group%|%JobID%|%JobName%|%NCPUS%|%NNodes%|%NodeList%|%NTasks%|%Partition%|%ReqCPUS%|%ReqMem%|%ReqNodes%|%Start%|%State%|%Submit%|%SystemCPU%|%TimelimitRaw%|%TotalCPU%|%UserCPU%|%
448%|%4%|%309664768%|%2024-08-24T20:52:33%|%0:0%|%SchedMain,StartRecieved%|%example%|%85584%|%GBM_MPI_smote(4,112)/n=150,depth=5,LR=0.1%|%448%|%4%|%icpnp[112,123-125]%|%%|%ct448%|%448%|%1843200M%|%0.00M%|%2024-08-16T20:52:17%|%TIMEOUT%|%2024-08-05T19:42:43%|%02:07:22%|%11520%|%3548-08:07:48%|%3548-06:00:25%|%
112%|%1%|%77416640%|%2024-08-24T20:52:37%|%0:15%|%%|%%|%85584.batch%|%batch%|%112%|%1%|%icpnp112%|%1%|%%|%112%|%%|%0.00M%|%2024-08-16T20:52:17%|%CANCELLED%|%2024-08-16T20:52:17%|%01:06:02%|%%|%881-04:19:03%|%881-03:13:01%|%
448%|%4%|%309665216%|%2024-08-24T20:52:34%|%0:0%|%%|%%|%85584.extern%|%extern%|%448%|%4%|%icpnp[112,123-125]%|%4%|%%|%448%|%%|%0.00M%|%2024-08-16T20:52:17%|%COMPLETED%|%2024-08-16T20:52:17%|%00:00:00%|%%|%00:00.002%|%00:00.002%|%
336%|%3%|%232249584%|%2024-08-24T20:52:37%|%1:0%|%%|%%|%85584.0%|%orted%|%336%|%3%|%icpnp[123-125]%|%3%|%%|%336%|%%|%0.00M%|%2024-08-16T20:52:18%|%FAILED%|%2024-08-16T20:52:18%|%01:01:20%|%%|%2667-03:48:45%|%2667-02:47:24%|%
1120%|%10%|%335084960%|%2024-08-25T15:43:21%|%0:0%|%SchedMain,StartRecieved%|%example%|%86948%|%elastic%|%1120%|%10%|%icpnp[206-210,224-228]%|%%|%ct1k%|%1120%|%4824960M%|%0.00M%|%2024-08-22T04:36:58%|%COMPLETED%|%2024-08-08T00:11:31%|%22:44:24%|%5760%|%32-09:05:47%|%31-10:21:22%|%
112%|%1%|%33508496%|%2024-08-25T15:43:21%|%0:0%|%%|%%|%86948.batch%|%batch%|%112%|%1%|%icpnp206%|%1%|%%|%112%|%%|%0.00M%|%2024-08-22T04:36:58%|%COMPLETED%|%2024-08-22T04:36:58%|%22:44:24%|%%|%32-09:05:47%|%31-10:21:22%|%
1120%|%10%|%335084960%|%2024-08-25T15:43:21%|%0:0%|%%|%%|%86948.extern%|%extern%|%1120%|%10%|%icpnp[206-210,224-228]%|%10%|%%|%1120%|%%|%0.00M%|%2024-08-22T04:36:58%|%COMPLETED%|%2024-08-22T04:36:58%|%00:00.003%|%%|%00:00.006%|%00:00.003%|%
112%|%1%|%35937440%|%2024-08-24T10:05:19%|%0:0%|%SchedMain,StartRecieved%|%example%|%87480%|%elastic%|%112%|%1%|%icpnp137%|%%|%ct112%|%112%|%482496M%|%0.00M%|%2024-08-20T16:57:29%|%COMPLETED%|%2024-08-09T06:09:43%|%11:43:05%|%5760%|%34-04:42:59%|%33-16:59:54%|%
112%|%1%|%35937440%|%2024-08-24T10:05:19%|%0:0%|%%|%%|%87480.batch%|%batch%|%112%|%1%|%icpnp137%|%1%|%%|%112%|%%|%0.00M%|%2024-08-20T16:57:29%|%COMPLETED%|%2024-08-20T16:57:29%|%11:43:05%|%%|%34-04:42:59%|%33-16:59:54%|%
112%|%1%|%35937440%|%2024-08-24T10:05:19%|%0:0%|%%|%%|%87480.extern%|%extern%|%112%|%1%|%icpnp137%|%1%|%%|%112%|%%|%0.00M%|%2024-08-20T16:57:29%|%COMPLETED%|%2024-08-20T16:57:29%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
112%|%1%|%36811376%|%2024-08-24T13:52:27%|%0:0%|%SchedMain,StartRecieved%|%example%|%87481%|%elastic%|%112%|%1%|%icpnp153%|%%|%ct112%|%112%|%482496M%|%0.00M%|%2024-08-20T18:34:34%|%COMPLETED%|%2024-08-09T06:09:51%|%11:42:46%|%5760%|%36-22:26:00%|%36-10:43:14%|%
112%|%1%|%36811376%|%2024-08-24T13:52:27%|%0:0%|%%|%%|%87481.batch%|%batch%|%112%|%1%|%icpnp153%|%1%|%%|%112%|%%|%0.00M%|%2024-08-20T18:34:34%|%COMPLETED%|%2024-08-20T18:34:34%|%11:42:46%|%%|%36-22:26:00%|%36-10:43:14%|%
112%|%1%|%36811376%|%2024-08-24T13:52:27%|%0:0%|%%|%%|%87481.extern%|%extern%|%112%|%1%|%icpnp153%|%1%|%%|%112%|%%|%0.00M%|%2024-08-20T18:34:34%|%COMPLETED%|%2024-08-20T18:34:34%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
112%|%1%|%36947120%|%2024-08-24T14:35:32%|%0:0%|%SchedMain,StartRecieved%|%example%|%87482%|%elastic%|%112%|%1%|%icpnp133%|%%|%ct112%|%112%|%482496M%|%0.00M%|%2024-08-20T18:57:27%|%COMPLETED%|%2024-08-09T06:09:57%|%11:45:28%|%5760%|%36-05:07:12%|%35-17:21:44%|%
112%|%1%|%36947120%|%2024-08-24T14:35:32%|%0:0%|%%|%%|%87482.batch%|%batch%|%112%|%1%|%icpnp133%|%1%|%%|%112%|%%|%0.00M%|%2024-08-20T18:57:27%|%COMPLETED%|%2024-08-20T18:57:27%|%11:45:28%|%%|%36-05:07:12%|%35-17:21:44%|%
112%|%1%|%36947120%|%2024-08-24T14:35:32%|%0:0%|%%|%%|%87482.extern%|%extern%|%112%|%1%|%icpnp133%|%1%|%%|%112%|%%|%0.00M%|%2024-08-20T18:57:27%|%COMPLETED%|%2024-08-20T18:57:27%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
112%|%1%|%31640672%|%2024-08-24T12:11:19%|%0:0%|%SchedMain,StartRecieved%|%example%|%87483%|%elastic%|%112%|%1%|%icpnp111%|%%|%ct112%|%112%|%482496M%|%0.00M%|%2024-08-21T05:42:53%|%COMPLETED%|%2024-08-09T06:10:04%|%10:31:07%|%5760%|%34-19:54:37%|%34-09:23:29%|%
112%|%1%|%31640672%|%2024-08-24T12:11:19%|%0:0%|%%|%%|%87483.batch%|%batch%|%112%|%1%|%icpnp111%|%1%|%%|%112%|%%|%0.00M%|%2024-08-21T05:42:53%|%COMPLETED%|%2024-08-21T05:42:53%|%10:31:07%|%%|%34-19:54:37%|%34-09:23:29%|%
112%|%1%|%31640672%|%2024-08-24T12:11:19%|%0:0%|%%|%%|%87483.extern%|%extern%|%112%|%1%|%icpnp111%|%1%|%%|%112%|%%|%0.00M%|%2024-08-21T05:42:53%|%COMPLETED%|%2024-08-21T05:42:53%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
112%|%1%|%37060128%|%2024-08-25T09:16:08%|%0:0%|%SchedBackfill,StartRecieved%|%example%|%87484%|%elastic%|%112%|%1%|%icpnp122%|%%|%ct112%|%112%|%482496M%|%0.00M%|%2024-08-21T13:21:14%|%COMPLETED%|%2024-08-09T06:10:13%|%11:45:47%|%5760%|%35-04:11:25%|%34-16:25:38%|%
112%|%1%|%37060128%|%2024-08-25T09:16:08%|%0:0%|%%|%%|%87484.batch%|%batch%|%112%|%1%|%icpnp122%|%1%|%%|%112%|%%|%0.00M%|%2024-08-21T13:21:14%|%COMPLETED%|%2024-08-21T13:21:14%|%11:45:47%|%%|%35-04:11:25%|%34-16:25:38%|%
112%|%1%|%37060128%|%2024-08-25T09:16:08%|%0:0%|%%|%%|%87484.extern%|%extern%|%112%|%1%|%icpnp122%|%1%|%%|%112%|%%|%0.00M%|%2024-08-21T13:21:14%|%COMPLETED%|%2024-08-21T13:21:14%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
112%|%1%|%36873872%|%2024-08-25T15:49:26%|%0:0%|%SchedBackfill,StartRecieved%|%example%|%87486%|%elastic%|%112%|%1%|%icpnp148%|%%|%ct112%|%112%|%482496M%|%0.00M%|%2024-08-21T20:22:15%|%COMPLETED%|%2024-08-09T06:10:30%|%11:41:45%|%5760%|%35-02:04:41%|%34-14:22:56%|%
112%|%1%|%36873872%|%2024-08-25T15:49:26%|%0:0%|%%|%%|%87486.batch%|%batch%|%112%|%1%|%icpnp148%|%1%|%%|%112%|%%|%0.00M%|%2024-08-21T20:22:15%|%COMPLETED%|%2024-08-21T20:22:15%|%11:41:45%|%%|%35-02:04:41%|%34-14:22:56%|%
112%|%1%|%36873872%|%2024-08-25T15:49:26%|%0:0%|%%|%%|%87486.extern%|%extern%|%112%|%1%|%icpnp148%|%1%|%%|%112%|%%|%0.00M%|%2024-08-21T20:22:15%|%COMPLETED%|%2024-08-21T20:22:15%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
112%|%1%|%36394624%|%2024-08-25T20:49:23%|%0:0%|%SchedBackfill,StartRecieved%|%example%|%87487%|%elastic%|%112%|%1%|%icpnp115%|%%|%ct112%|%112%|%482496M%|%0.00M%|%2024-08-22T02:33:31%|%COMPLETED%|%2024-08-09T06:10:37%|%11:44:50%|%5760%|%36-10:48:28%|%35-23:03:37%|%
112%|%1%|%36394624%|%2024-08-25T20:49:23%|%0:0%|%%|%%|%87487.batch%|%batch%|%112%|%1%|%icpnp115%|%1%|%%|%112%|%%|%0.00M%|%2024-08-22T02:33:31%|%COMPLETED%|%2024-08-22T02:33:31%|%11:44:50%|%%|%36-10:48:28%|%35-23:03:37%|%
112%|%1%|%36394624%|%2024-08-25T20:49:23%|%0:0%|%%|%%|%87487.extern%|%extern%|%112%|%1%|%icpnp115%|%1%|%%|%112%|%%|%0.00M%|%2024-08-22T02:33:31%|%COMPLETED%|%2024-08-22T02:33:31%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
1120%|%10%|%344835680%|%Unknown%|%0:0%|%SchedMain,StartRecieved%|%example%|%87488%|%elastic%|%1120%|%10%|%icpnp[217-223,254-256]%|%%|%ct1k%|%1120%|%4824960M%|%0.00M%|%2024-08-22T21:43:14%|%RUNNING%|%2024-08-09T06:10:58%|%00:00:00%|%5760%|%00:00:00%|%00:00:00%|%
112%|%1%|%34483568%|%Unknown%|%0:0%|%%|%%|%87488.batch%|%batch%|%112%|%1%|%icpnp217%|%1%|%%|%112%|%%|%0.00M%|%2024-08-22T21:43:14%|%RUNNING%|%2024-08-22T21:43:14%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
1120%|%10%|%344835680%|%Unknown%|%0:0%|%%|%%|%87488.extern%|%extern%|%1120%|%10%|%icpnp[217-223,254-256]%|%10%|%%|%1120%|%%|%0.00M%|%2024-08-22T21:43:14%|%RUNNING%|%2024-08-22T21:43:14%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
1120%|%10%|%309177120%|%Unknown%|%0:0%|%SchedMain,StartRecieved%|%example%|%87489%|%elastic%|%1120%|%10%|%icpnp[244-253]%|%%|%ct1k%|%1120%|%4824960M%|%0.00M%|%2024-08-23T06:33:52%|%RUNNING%|%2024-08-09T06:11:13%|%00:00:00%|%5760%|%00:00:00%|%00:00:00%|%
112%|%1%|%30917712%|%Unknown%|%0:0%|%%|%%|%87489.batch%|%batch%|%112%|%1%|%icpnp244%|%1%|%%|%112%|%%|%0.00M%|%2024-08-23T06:33:52%|%RUNNING%|%2024-08-23T06:33:52%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
1120%|%10%|%309177120%|%Unknown%|%0:0%|%%|%%|%87489.extern%|%extern%|%1120%|%10%|%icpnp[244-253]%|%10%|%%|%1120%|%%|%0.00M%|%2024-08-23T06:33:52%|%RUNNING%|%2024-08-23T06:33:52%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
112%|%1%|%30025744%|%Unknown%|%0:0%|%SchedBackfill,StartRecieved%|%example%|%88104%|%elastic%|%112%|%1%|%icpnp138%|%%|%ct112%|%112%|%482496M%|%0.00M%|%2024-08-23T08:46:36%|%RUNNING%|%2024-08-10T09:33:37%|%00:00:00%|%5760%|%00:00:00%|%00:00:00%|%
112%|%1%|%30025744%|%Unknown%|%0:0%|%%|%%|%88104.batch%|%batch%|%112%|%1%|%icpnp138%|%1%|%%|%112%|%%|%0.00M%|%2024-08-23T08:46:36%|%RUNNING%|%2024-08-23T08:46:36%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
112%|%1%|%30025744%|%Unknown%|%0:0%|%%|%%|%88104.extern%|%extern%|%112%|%1%|%icpnp138%|%1%|%%|%112%|%%|%0.00M%|%2024-08-23T08:46:36%|%RUNNING%|%2024-08-23T08:46:36%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
448%|%4%|%132472704%|%2024-08-24T01:26:32%|%0:0%|%SchedMain,StartRecieved%|%example%|%88122%|%elastic%|%448%|%4%|%icpnp[106,144-146]%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%2024-08-20T15:18:14%|%COMPLETED%|%2024-08-10T10:52:36%|%13:58:38%|%5760%|%27-19:20:35%|%27-05:21:56%|%
112%|%1%|%33118176%|%2024-08-24T01:26:32%|%0:0%|%%|%%|%88122.batch%|%batch%|%112%|%1%|%icpnp106%|%1%|%%|%112%|%%|%0.00M%|%2024-08-20T15:18:14%|%COMPLETED%|%2024-08-20T15:18:14%|%13:58:38%|%%|%27-19:20:35%|%27-05:21:56%|%
448%|%4%|%132473152%|%2024-08-24T01:26:33%|%0:0%|%%|%%|%88122.extern%|%extern%|%448%|%4%|%icpnp[106,144-146]%|%4%|%%|%448%|%%|%0.00M%|%2024-08-20T15:18:14%|%COMPLETED%|%2024-08-20T15:18:14%|%00:00:00%|%%|%00:00.002%|%00:00.002%|%
20%|%1%|%6912400%|%2024-08-24T18:16:02%|%0:0%|%SchedMain,StartRecieved%|%example%|%88934%|%I-NT1%|%20%|%1%|%icpnp101%|%%|%ct112%|%20%|%86160M%|%0.00M%|%2024-08-20T18:15:42%|%TIMEOUT%|%2024-08-12T02:00:43%|%05:05:44%|%5760%|%76-19:46:23%|%76-14:40:38%|%
20%|%1%|%6912420%|%2024-08-24T18:16:03%|%0:15%|%%|%%|%88934.batch%|%batch%|%20%|%1%|%icpnp101%|%1%|%%|%20%|%%|%0.00M%|%2024-08-20T18:15:42%|%CANCELLED%|%2024-08-20T18:15:42%|%05:05:44%|%%|%76-19:46:23%|%76-14:40:38%|%
20%|%1%|%6912400%|%2024-08-24T18:16:02%|%0:0%|%%|%%|%88934.extern%|%extern%|%20%|%1%|%icpnp101%|%1%|%%|%20%|%%|%0.00M%|%2024-08-20T18:15:42%|%COMPLETED%|%2024-08-20T18:15:42%|%00:00.001%|%%|%00:00.001%|%00:00:00%|%
112%|%1%|%28476560%|%Unknown%|%0:0%|%SchedBackfill,StartRecieved%|%example%|%94210%|%elastic%|%112%|%1%|%icpnp113%|%%|%ct112%|%112%|%482496M%|%0.00M%|%2024-08-23T12:37:08%|%RUNNING%|%2024-08-14T17:05:48%|%00:00:00%|%5760%|%00:00:00%|%00:00:00%|%
112%|%1%|%28476560%|%Unknown%|%0:0%|%%|%%|%94210.batch%|%batch%|%112%|%1%|%icpnp113%|%1%|%%|%112%|%%|%0.00M%|%2024-08-23T12:37:08%|%RUNNING%|%2024-08-23T12:37:08%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
112%|%1%|%28476560%|%Unknown%|%0:0%|%%|%%|%94210.extern%|%extern%|%112%|%1%|%icpnp113%|%1%|%%|%112%|%%|%0.00M%|%2024-08-23T12:37:08%|%RUNNING%|%2024-08-23T12:37:08%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
448%|%4%|%42489216%|%Unknown%|%0:0%|%SchedMain,StartRecieved%|%example%|%94211%|%elastic%|%448%|%4%|%icpnp[118,135,137,149]%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%2024-08-25T08:54:01%|%RUNNING%|%2024-08-14T17:06:01%|%00:00:00%|%5760%|%00:00:00%|%00:00:00%|%
112%|%1%|%10622304%|%Unknown%|%0:0%|%%|%%|%94211.batch%|%batch%|%112%|%1%|%icpnp118%|%1%|%%|%112%|%%|%0.00M%|%2024-08-25T08:54:01%|%RUNNING%|%2024-08-25T08:54:01%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
448%|%4%|%42489216%|%Unknown%|%0:0%|%%|%%|%94211.extern%|%extern%|%448%|%4%|%icpnp[118,135,137,149]%|%4%|%%|%448%|%%|%0.00M%|%2024-08-25T08:54:01%|%RUNNING%|%2024-08-25T08:54:01%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
448%|%4%|%39664128%|%Unknown%|%0:0%|%SchedMain,StartRecieved%|%example%|%94212%|%elastic%|%448%|%4%|%icpnp[111-112,122,133]%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%2024-08-25T10:39:07%|%RUNNING%|%2024-08-14T17:06:08%|%00:00:00%|%5760%|%00:00:00%|%00:00:00%|%
112%|%1%|%9916032%|%Unknown%|%0:0%|%%|%%|%94212.batch%|%batch%|%112%|%1%|%icpnp111%|%1%|%%|%112%|%%|%0.00M%|%2024-08-25T10:39:07%|%RUNNING%|%2024-08-25T10:39:07%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
448%|%4%|%39664128%|%Unknown%|%0:0%|%%|%%|%94212.extern%|%extern%|%448%|%4%|%icpnp[111-112,122,133]%|%4%|%%|%448%|%%|%0.00M%|%2024-08-25T10:39:07%|%RUNNING%|%2024-08-25T10:39:07%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
448%|%4%|%22365056%|%Unknown%|%0:0%|%SchedMain,StartRecieved%|%example%|%94213%|%elastic%|%448%|%4%|%icpnp[108,123-125]%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%2024-08-25T21:22:41%|%RUNNING%|%2024-08-14T17:06:16%|%00:00:00%|%5760%|%00:00:00%|%00:00:00%|%
112%|%1%|%5591264%|%Unknown%|%0:0%|%%|%%|%94213.batch%|%batch%|%112%|%1%|%icpnp108%|%1%|%%|%112%|%%|%0.00M%|%2024-08-25T21:22:41%|%RUNNING%|%2024-08-25T21:22:41%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
448%|%4%|%22365056%|%Unknown%|%0:0%|%%|%%|%94213.extern%|%extern%|%448%|%4%|%icpnp[108,123-125]%|%4%|%%|%448%|%%|%0.00M%|%2024-08-25T21:22:41%|%RUNNING%|%2024-08-25T21:22:41%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
448%|%4%|%15795136%|%Unknown%|%0:0%|%SchedMain,StartRecieved%|%example%|%94214%|%elastic%|%448%|%4%|%icpnp[106,144-146]%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%2024-08-26T01:27:06%|%RUNNING%|%2024-08-14T17:06:22%|%00:00:00%|%5760%|%00:00:00%|%00:00:00%|%
112%|%1%|%3948784%|%Unknown%|%0:0%|%%|%%|%94214.batch%|%batch%|%112%|%1%|%icpnp106%|%1%|%%|%112%|%%|%0.00M%|%2024-08-26T01:27:06%|%RUNNING%|%2024-08-26T01:27:06%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
448%|%4%|%15795136%|%Unknown%|%0:0%|%%|%%|%94214.extern%|%extern%|%448%|%4%|%icpnp[106,144-146]%|%4%|%%|%448%|%%|%0.00M%|%2024-08-26T01:27:06%|%RUNNING%|%2024-08-26T01:27:06%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
448%|%0%|%0%|%Unknown%|%0:0%|%StartRecieved%|%example%|%94215%|%elastic%|%448%|%4%|%None assigned%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%Unknown%|%PENDING%|%2024-08-14T17:06:29%|%00:00:00%|%5760%|%00:00:00%|%00:00:00%|%
448%|%0%|%0%|%Unknown%|%0:0%|%StartRecieved%|%example%|%94216%|%elastic%|%448%|%4%|%None assigned%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%Unknown%|%PENDING%|%2024-08-14T17:06:35%|%00:00:00%|%5760%|%00:00:00%|%00:00:00%|%
1120%|%10%|%131429760%|%2024-08-24T04:39:38%|%0:0%|%SchedMain,StartRecieved%|%example%|%94592%|%SolitonR3%|%1120%|%10%|%icpnp[234-243]%|%%|%ct1k%|%1120%|%4820000M%|%0.00M%|%2024-08-22T20:03:50%|%COMPLETED%|%2024-08-15T10:41:59%|%46-17:01:26%|%5760%|%474-21:57:14%|%428-04:55:47%|%
112%|%1%|%13142976%|%2024-08-24T04:39:38%|%0:0%|%%|%%|%94592.batch%|%batch%|%112%|%1%|%icpnp234%|%1%|%%|%112%|%%|%0.00M%|%2024-08-22T20:03:50%|%COMPLETED%|%2024-08-22T20:03:50%|%4-17:15:37%|%%|%47-15:05:46%|%42-21:50:09%|%
1120%|%10%|%131429760%|%2024-08-24T04:39:38%|%0:0%|%%|%%|%94592.extern%|%extern%|%1120%|%10%|%icpnp[234-243]%|%10%|%%|%1120%|%%|%0.00M%|%2024-08-22T20:03:50%|%COMPLETED%|%2024-08-22T20:03:50%|%00:00.002%|%%|%00:00.006%|%00:00.004%|%
1008%|%9%|%118285776%|%2024-08-24T04:39:39%|%0:0%|%%|%%|%94592.0%|%prted%|%1008%|%9%|%icpnp[235-243]%|%9%|%%|%1008%|%%|%0.00M%|%2024-08-22T20:03:52%|%COMPLETED%|%2024-08-22T20:03:52%|%41-23:45:49%|%%|%427-06:51:27%|%385-07:05:38%|%
112%|%1%|%19248544%|%2024-08-24T16:26:20%|%0:0%|%SchedBackfill,StartRecieved%|%example%|%94631%|%L%|%112%|%1%|%icpnp108%|%%|%ct112%|%112%|%482496M%|%0.00M%|%2024-08-22T16:41:58%|%COMPLETED%|%2024-08-15T11:45:22%|%23:11:55%|%5760%|%221-02:47:04%|%220-03:35:09%|%
112%|%1%|%19248544%|%2024-08-24T16:26:20%|%0:0%|%%|%%|%94631.batch%|%batch%|%112%|%1%|%icpnp108%|%1%|%%|%112%|%%|%0.00M%|%2024-08-22T16:41:58%|%COMPLETED%|%2024-08-22T16:41:58%|%00:03.043%|%%|%00:03.358%|%00:00.314%|%
112%|%1%|%19248544%|%2024-08-24T16:26:20%|%0:0%|%%|%%|%94631.extern%|%extern%|%112%|%1%|%icpnp108%|%1%|%%|%112%|%%|%0.00M%|%2024-08-22T16:41:58%|%COMPLETED%|%2024-08-22T16:41:58%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
112%|%1%|%19248208%|%2024-08-24T16:26:20%|%0:0%|%%|%%|%94631.0%|%hydra_bstrap_proxy%|%112%|%1%|%icpnp108%|%1%|%%|%112%|%%|%0.00M%|%2024-08-22T16:42:01%|%COMPLETED%|%2024-08-22T16:42:01%|%23:11:52%|%%|%221-02:47:01%|%220-03:35:08%|%
112%|%1%|%8445920%|%2024-08-24T05:23:05%|%0:0%|%SchedBackfill,StartRecieved%|%example%|%94632%|%H%|%112%|%1%|%icpnp118%|%%|%ct112%|%112%|%482496M%|%0.00M%|%2024-08-23T08:26:15%|%COMPLETED%|%2024-08-15T11:45:35%|%11:52:27%|%5760%|%96-23:57:21%|%96-12:04:54%|%
112%|%1%|%8445920%|%2024-08-24T05:23:05%|%0:0%|%%|%%|%94632.batch%|%batch%|%112%|%1%|%icpnp118%|%1%|%%|%112%|%%|%0.00M%|%2024-08-23T08:26:15%|%COMPLETED%|%2024-08-23T08:26:15%|%00:02.502%|%%|%00:02.749%|%00:00.247%|%
112%|%1%|%8445920%|%2024-08-24T05:23:05%|%0:0%|%%|%%|%94632.extern%|%extern%|%112%|%1%|%icpnp118%|%1%|%%|%112%|%%|%0.00M%|%2024-08-23T08:26:15%|%COMPLETED%|%2024-08-23T08:26:15%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
112%|%1%|%8445696%|%2024-08-24T05:23:05%|%0:0%|%%|%%|%94632.0%|%hydra_bstrap_proxy%|%112%|%1%|%icpnp118%|%1%|%%|%112%|%%|%0.00M%|%2024-08-23T08:26:17%|%COMPLETED%|%2024-08-23T08:26:17%|%11:52:24%|%%|%96-23:57:18%|%96-12:04:54%|%
556%|%10%|%123936848%|%2024-08-26T09:09:23%|%0:0%|%SchedBackfill,StartRecieved%|%example%|%95257%|%tha-2%|%556%|%10%|%icpnp[201-204,211-216]%|%%|%ct1k%|%556%|%2395248M%|%0.00M%|%2024-08-23T19:14:15%|%COMPLETED%|%2024-08-15T19:55:43%|%1-00:50:48%|%5760%|%1410-12:28:55%|%1409-11:38:06%|%
56%|%1%|%12482848%|%2024-08-26T09:09:23%|%0:0%|%%|%%|%95257.batch%|%batch%|%56%|%1%|%icpnp201%|%1%|%%|%56%|%%|%0.00M%|%2024-08-23T19:14:15%|%COMPLETED%|%2024-08-23T19:14:15%|%01:38:09%|%%|%142-04:42:39%|%142-03:04:30%|%
556%|%10%|%123936848%|%2024-08-26T09:09:23%|%0:0%|%%|%%|%95257.extern%|%extern%|%556%|%10%|%icpnp[201-204,211-216]%|%10%|%%|%556%|%%|%0.00M%|%2024-08-23T19:14:15%|%COMPLETED%|%2024-08-23T19:14:15%|%00:00.004%|%%|%00:00.008%|%00:00.004%|%
500%|%9%|%111454500%|%2024-08-26T09:09:24%|%0:0%|%%|%%|%95257.0%|%prted%|%500%|%9%|%icpnp[202-204,211-216]%|%9%|%%|%500%|%%|%0.00M%|%2024-08-23T19:14:15%|%COMPLETED%|%2024-08-23T19:14:15%|%23:12:39%|%%|%1268-07:46:15%|%1267-08:33:36%|%
560%|%0%|%0%|%Unknown%|%0:0%|%StartRecieved%|%example%|%95465%|%Cl_1750K_2%|%560%|%5%|%None assigned%|%%|%ct1k%|%560%|%2412480M%|%0.00M%|%Unknown%|%PENDING%|%2024-08-16T10:06:16%|%00:00:00%|%Partition_Limit%|%00:00:00%|%00:00:00%|%
560%|%0%|%0%|%Unknown%|%0:0%|%StartRecieved%|%example%|%95466%|%Cl_2250K_2%|%560%|%5%|%None assigned%|%%|%ct1k%|%560%|%2412480M%|%0.00M%|%Unknown%|%PENDING%|%2024-08-16T10:07:59%|%00:00:00%|%Partition_Limit%|%00:00:00%|%00:00:00%|%
560%|%5%|%63786800%|%Unknown%|%0:0%|%SchedMain,StartRecieved%|%example%|%95468%|%F_2000K_8%|%560%|%5%|%icpnp[229-233]%|%%|%ct1k%|%560%|%2412480M%|%0.00M%|%2024-08-25T03:36:18%|%RUNNING%|%2024-08-16T10:09:27%|%00:00:00%|%5760%|%00:00:00%|%00:00:00%|%
112%|%1%|%12757360%|%Unknown%|%0:0%|%%|%%|%95468.batch%|%batch%|%112%|%1%|%icpnp229%|%1%|%%|%112%|%%|%0.00M%|%2024-08-25T03:36:18%|%RUNNING%|%2024-08-25T03:36:18%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
560%|%5%|%63786800%|%Unknown%|%0:0%|%%|%%|%95468.extern%|%extern%|%560%|%5%|%icpnp[229-233]%|%5%|%%|%560%|%%|%0.00M%|%2024-08-25T03:36:18%|%RUNNING%|%2024-08-25T03:36:18%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
560%|%5%|%63786240%|%Unknown%|%0:0%|%%|%%|%95468.0%|%hydra_bstrap_proxy%|%560%|%5%|%icpnp[229-233]%|%5%|%%|%560%|%%|%0.00M%|%2024-08-25T03:36:19%|%RUNNING%|%2024-08-25T03:36:19%|%00:00:00%|%%|%00:00:00%|%00:00:00%|%
896%|%16%|%129992576%|%2024-08-25T03:36:16%|%0:0%|%SchedMain,StartRecieved%|%example%|%95544%|%n12m6a1v50%|%896%|%16%|%icpnp[201-205,211-216,229-233]%|%%|%ct1k%|%896%|%3859968M%|%0.00M%|%2024-08-23T11:18:15%|%COMPLETED%|%2024-08-16T12:19:56%|%02:39:13%|%5760%|%1494-11:40:53%|%1494-09:01:40%|%
